Activity_ID,Project_ID,Employee_ID,Activity_Date,Activity_Type,Hours_Worked,Cost,Tasks_Completed,Issues_Raised,Issues_Resolved
A001752,P0111,E039,2026-02-12,Data Collection,9.9,663.65,6,1,1
A001753,P0019,E040,2026-06-19,Kickoff,7.1,463.25,6,1,1
A001754,P0119,E021,2025-09-28,Quality Review,3.6,257.42,3,0,0
A001755,P0048,E015,2025-07-19,Project Administration,2.4,178.04,6,0,0
A001756,P0043,E008,2026-04-11,Quality Review,4.2,164.35,6,0,1
A001757,P0043,E017,2026-07-11,Project Administration,4.7,258.73,2,0,1
A001758,P0077,E034,2025-10-12,Reporting,10.6,705.95,1,0,0
A001759,P0080,E037,2026-04-09,Kickoff,5.0,394.1,0,0,1
A001760,P0057,E010,2025-07-09,Stakeholder Meeting,2.5,198.92,7,0,0
A001761,P0009,E001,2026-05-12,Client Review,5.4,385.19,3,1,1
A001762,P0119,E029,2025-09-15,Quality Review,6.2,435.19,4,2,2
A001763,P0027,E030,2026-01-25,Data Collection,2.3,131.25,2,0,1
A001764,P0012,E050,2026-03-20,Data Collection,6.5,553.03,3,1,1
A001765,P0072,E039,2026-06-18,Reporting,8.5,764.86,3,0,0
A001766,P0050,E028,2025-05-24,Quality Review,5.8,497.52,4,0,1
A001767,P0074,E030,2025-11-22,Reporting,3.5,305.6,1,1,1
A001768,P0106,E033,2026-01-25,Stakeholder Meeting,4.2,376.02,6,0,1
A001769,P0012,E023,2026-03-19,Stakeholder Meeting,1.4,65.97,3,0,1
A001770,P0035,E034,2026-04-26,Reporting,5.2,342.33,1,0,0
A001771,P0062,E010,2025-07-14,Kickoff,6.3,422.56,0,1,1
A001772,P0095,E042,2026-01-27,Stakeholder Meeting,3.3,211.61,0,0,1
A001773,P0073,E044,2026-06-09,Stakeholder Meeting,10.3,884.87,2,0,1
A001774,P0046,E022,2025-12-31,Issue Resolution,7.5,408.77,5,0,0
A001775,P0074,E023,2025-10-23,Client Review,1.0,44.68,6,0,1
A001776,P0118,E025,2025-12-03,Stakeholder Meeting,1.1,56.6,7,0,0
A001777,P0058,E041,2025-08-13,Analysis,3.0,130.76,2,1,1
A001778,P0107,E009,2026-04-07,Analysis,9.4,557.3,5,0,1
A001779,P0094,E018,2025-05-07,Data Collection,7.7,323.47,2,0,0
A001780,P0037,E031,2025-09-04,Analysis,9.6,386.44,1,0,1
A001781,P0030,E035,2025-12-08,Client Review,5.5,341.33,4,1,2
A001782,P0093,E015,2025-01-28,Kickoff,5.0,355.34,5,0,0
A001783,P0025,E006,2025-11-06,Kickoff,2.4,171.5,6,0,1
A001784,P0041,E026,2026-04-27,Quality Review,6.4,259.44,0,0,1
A001785,P0029,E032,2025-12-20,Analysis,5.0,466.47,5,0,0
A001786,P0073,E039,2026-07-01,Issue Resolution,4.9,207.29,2,0,1
A001787,P0036,E001,2025-10-08,Client Review,9.5,708.96,2,0,1
A001788,P0080,E001,2026-05-01,Client Review,5.2,459.26,0,0,0
A001789,P0113,E020,2026-06-21,Quality Review,8.8,775.16,1,0,1
A001790,P0100,E029,2025-03-14,Stakeholder Meeting,1.5,98.59,3,0,1
A001791,P0114,E001,2026-07-23,Stakeholder Meeting,12.2,630.1,1,0,1
A001792,P0003,E009,2025-08-11,Data Collection,4.6,389.49,2,1,1
A001793,P0055,E021,2025-12-09,Reporting,7.3,523.81,4,0,1
A001794,P0027,E014,2025-12-27,Issue Resolution,7.7,634.96,0,0,0
A001795,P0111,E036,2026-02-04,Analysis,4.3,253.7,7,2,3
A001796,P0086,E002,2025-11-20,Kickoff,7.5,673.54,2,0,0
A001797,P0039,E045,2026-08-26,Reporting,7.7,698.97,6,0,0
A001798,P0068,E009,2025-07-27,Stakeholder Meeting,3.7,293.19,5,0,0
A001799,P0073,E023,2026-08-02,Issue Resolution,3.7,338.75,6,1,1
A001800,P0060,E050,2025-07-13,Issue Resolution,5.6,348.38,2,0,1
A001801,P0057,E034,2025-09-18,Project Administration,5.2,242.67,1,0,1
A001802,P0007,E050,2026-06-13,Stakeholder Meeting,9.0,669.19,1,1,2
A001803,P0055,E001,2026-02-26,Project Administration,7.3,541.67,1,0,1
A001804,P0042,E036,2025-11-12,Data Collection,5.3,341.74,4,0,1
A001805,P0099,E004,2026-05-21,Stakeholder Meeting,7.0,354.46,4,0,0
A001806,P0104,E031,2025-03-31,Analysis,0.5,36.23,6,0,1
A001807,P0091,E017,2025-04-11,Project Administration,4.0,183.39,7,0,0
A001808,P0004,E039,2025-05-10,Reporting,6.2,497.23,6,0,0
A001809,P0101,E007,2026-06-14,Stakeholder Meeting,8.3,742.09,2,0,1
A001810,P0048,E045,2025-06-21,Data Collection,6.0,269.98,3,0,1
A001811,P0050,E025,2025-04-09,Issue Resolution,9.1,766.37,7,0,0
A001812,P0114,E026,2026-07-06,Reporting,7.7,361.19,5,1,2
A001813,P0105,E029,2025-12-28,Issue Resolution,4.3,279.61,3,0,1
A001814,P0007,E002,2026-09-02,Stakeholder Meeting,5.1,462.85,6,0,1
A001815,P0044,E016,2025-08-07,Data Collection,6.5,259.76,1,0,0
A001816,P0090,E036,2025-07-23,Stakeholder Meeting,4.4,177.7,5,0,1
A001817,P0065,E049,2025-06-17,Reporting,9.3,860.47,7,0,1
A001818,P0031,E050,2025-11-29,Analysis,2.7,120.23,4,1,2
A001819,P0063,E027,2025-09-21,Kickoff,6.3,349.79,4,0,1
A001820,P0104,E013,2025-07-09,Issue Resolution,7.3,456.54,0,0,1
A001821,P0027,E024,2025-12-09,Quality Review,4.7,166.39,4,1,1
A001822,P0090,E024,2025-09-25,Stakeholder Meeting,4.2,194.4,2,0,0
A001823,P0089,E020,2025-04-01,Quality Review,5.3,448.93,7,1,2
A001824,P0107,E019,2026-02-27,Client Review,7.5,495.98,2,0,0
A001825,P0036,E044,2025-10-14,Kickoff,4.3,252.13,2,0,0
A001826,P0026,E020,2026-03-01,Stakeholder Meeting,2.8,212.57,3,0,1
A001827,P0066,E002,2026-01-25,Analysis,8.4,457.68,5,0,0
A001828,P0064,E037,2025-08-08,Kickoff,6.5,398.53,7,1,1
A001829,P0050,E034,2025-05-01,Kickoff,8.0,756.99,2,0,1
A001830,P0094,E019,2025-05-17,Stakeholder Meeting,7.4,602.78,1,0,1
A001831,P0096,E032,2026-03-08,Quality Review,10.9,743.8,6,1,1
A001832,P0030,E048,2025-12-26,Quality Review,8.3,552.82,4,0,1
A001833,P0096,E047,2025-12-30,Issue Resolution,3.7,316.93,3,0,1
A001834,P0028,E040,2026-03-05,Quality Review,6.7,476.05,7,0,0
A001835,P0049,E030,2025-04-06,Reporting,4.1,226.96,3,0,0
A001836,P0004,E002,2025-06-09,Issue Resolution,4.4,264.3,4,1,1
A001837,P0041,E026,2026-04-30,Reporting,2.0,92.01,7,0,1
A001838,P0116,E041,2026-04-04,Project Administration,4.8,444.34,1,0,1
A001839,P0054,E043,2025-09-13,Data Collection,6.9,511.51,7,0,0
A001840,P0086,E039,2025-10-17,Issue Resolution,5.3,312.25,7,0,0
A001841,P0013,E050,2025-03-09,Client Review,2.8,158.46,3,0,0
A001842,P0077,E026,2025-09-01,Reporting,1.7,152.01,2,0,1
A001843,P0045,E006,2026-01-24,Kickoff,10.8,611.48,1,0,0
A001844,P0090,E025,2025-08-08,Quality Review,6.3,506.41,0,0,1
A001845,P0112,E016,2025-04-26,Issue Resolution,3.4,289.43,7,0,1
A001846,P0064,E042,2025-10-31,Reporting,6.7,600.24,3,0,0
A001847,P0013,E039,2025-03-19,Kickoff,11.0,631.21,5,0,1
A001848,P0058,E022,2025-09-16,Analysis,7.1,574.53,1,0,0
A001849,P0015,E020,2025-09-13,Reporting,0.5,27.31,2,1,1
A001850,P0054,E008,2025-08-12,Issue Resolution,12.1,1108.86,6,0,0
A001851,P0008,E003,2026-01-18,Quality Review,0.9,32.1,5,0,1
A001852,P0077,E016,2025-09-21,Issue Resolution,5.0,346.06,1,1,2
A001853,P0038,E013,2025-10-05,Issue Resolution,2.7,177.11,0,0,0
A001854,P0025,E014,2025-09-13,Analysis,3.6,315.57,6,0,0
A001855,P0003,E050,2025-06-01,Data Collection,6.2,297.47,0,1,1
A001856,P0107,E035,2026-01-02,Project Administration,0.5,20.12,0,0,1
A001857,P0101,E028,2026-05-19,Reporting,5.3,454.67,2,0,0
A001858,P0098,E009,2026-05-27,Issue Resolution,8.4,470.45,7,0,1
A001859,P0007,E043,2026-08-19,Project Administration,3.4,185.28,5,0,1
A001860,P0042,E033,2025-11-23,Stakeholder Meeting,2.0,82.64,0,0,1
A001861,P0117,E026,2025-08-23,Kickoff,5.2,469.06,7,0,1
A001862,P0070,E024,2026-07-24,Project Administration,4.7,342.99,7,0,1
A001863,P0016,E028,2026-06-20,Reporting,4.0,306.12,5,0,1
A001864,P0017,E042,2026-01-07,Data Collection,2.5,222.19,0,0,1
A001865,P0032,E037,2026-05-29,Quality Review,6.8,582.29,0,0,0
A001866,P0117,E025,2025-11-19,Kickoff,7.0,434.76,6,0,1
A001867,P0021,E034,2026-04-15,Analysis,2.8,124.84,6,0,0
A001868,P0109,E047,2025-10-05,Stakeholder Meeting,3.2,241.08,6,0,0
A001869,P0082,E017,2026-05-18,Quality Review,5.8,429.45,3,0,1
A001870,P0111,E046,2026-02-10,Reporting,3.1,117.26,4,1,1
A001871,P0100,E031,2025-03-20,Issue Resolution,5.9,524.89,1,2,3
A001872,P0040,E010,2026-05-26,Stakeholder Meeting,9.2,507.05,0,0,1
A001873,P0100,E049,2025-04-06,Client Review,5.4,327.92,1,0,0
A001874,P0021,E035,2026-04-28,Project Administration,2.5,164.57,4,1,1
A001875,P0035,E020,2026-05-16,Client Review,6.5,583.19,3,0,1
A001876,P0026,E011,2026-07-11,Analysis,5.1,230.67,4,2,2
A001877,P0016,E046,2026-07-31,Client Review,5.1,291.32,3,1,1
A001878,P0011,E042,2025-04-14,Analysis,6.7,436.04,4,1,2
A001879,P0023,E003,2025-05-27,Quality Review,7.2,680.5,7,0,1
A001880,P0015,E032,2025-08-20,Reporting,5.6,343.76,5,0,0
A001881,P0046,E006,2026-02-26,Analysis,5.3,312.24,7,0,0
A001882,P0009,E015,2026-04-20,Kickoff,10.7,974.79,7,0,0
A001883,P0008,E029,2025-12-03,Issue Resolution,8.5,634.86,4,1,1
A001884,P0119,E013,2025-10-18,Client Review,7.6,340.59,7,2,3
A001885,P0011,E026,2025-02-27,Data Collection,5.8,264.18,1,0,1
A001886,P0009,E022,2026-05-01,Stakeholder Meeting,3.0,221.0,4,0,0
A001887,P0004,E030,2025-06-02,Analysis,8.3,523.09,0,1,1
A001888,P0016,E041,2026-05-20,Project Administration,5.9,209.67,0,1,2
A001889,P0064,E008,2025-10-19,Project Administration,4.1,253.85,1,1,1
A001890,P0100,E040,2025-04-01,Client Review,4.9,447.77,1,0,1
A001891,P0089,E012,2025-02-10,Stakeholder Meeting,3.1,247.51,3,2,3
A001892,P0070,E002,2026-08-07,Kickoff,8.1,554.98,5,0,0
A001893,P0011,E023,2025-03-18,Analysis,7.2,336.32,7,0,1
A001894,P0093,E016,2025-02-07,Kickoff,6.0,330.83,7,0,1
A001895,P0005,E010,2025-02-01,Issue Resolution,5.4,511.91,1,0,1
A001896,P0076,E022,2025-06-20,Kickoff,3.8,283.26,3,1,2
A001897,P0050,E044,2025-03-16,Client Review,0.5,25.79,3,0,0
A001898,P0106,E030,2026-02-15,Project Administration,2.0,158.56,0,0,1
A001899,P0037,E037,2025-10-28,Analysis,3.6,145.73,0,0,1
A001900,P0077,E008,2025-08-28,Client Review,3.3,188.88,2,1,1
A001901,P0053,E004,2025-07-04,Issue Resolution,6.2,302.24,6,0,0
A001902,P0063,E017,2025-08-17,Stakeholder Meeting,7.5,665.7,3,0,0
A001903,P0113,E039,2026-07-06,Quality Review,5.2,411.37,3,0,0
A001904,P0086,E045,2025-12-18,Data Collection,9.0,583.65,7,0,0
A001905,P0050,E006,2025-05-30,Stakeholder Meeting,3.5,208.14,3,0,0
A001906,P0054,E024,2025-08-10,Issue Resolution,5.2,449.88,5,0,1
A001907,P0085,E020,2026-02-11,Reporting,5.4,252.32,7,0,1
A001908,P0042,E038,2025-09-23,Data Collection,8.2,323.78,0,2,3
A001909,P0021,E011,2026-06-03,Quality Review,5.8,499.42,4,1,1
A001910,P0057,E025,2025-09-05,Client Review,5.8,501.06,2,0,0
A001911,P0009,E043,2026-04-30,Kickoff,1.4,69.42,0,0,0
A001912,P0021,E024,2026-04-03,Client Review,3.3,154.17,0,0,0
A001913,P0051,E040,2025-11-22,Data Collection,8.2,641.88,5,0,0
A001914,P0096,E032,2026-04-25,Analysis,0.5,21.8,5,0,1
A001915,P0094,E030,2025-05-31,Stakeholder Meeting,8.9,643.62,4,1,2
A001916,P0032,E013,2026-07-16,Quality Review,6.7,516.4,5,1,1
A001917,P0051,E050,2025-09-16,Project Administration,3.6,260.35,5,0,1
A001918,P0019,E013,2026-05-10,Analysis,3.4,206.09,0,1,1
A001919,P0091,E047,2025-06-05,Analysis,10.2,856.5,0,1,2
A001920,P0030,E050,2026-03-28,Stakeholder Meeting,9.0,817.19,2,0,1
A001921,P0096,E026,2026-04-20,Issue Resolution,5.2,402.18,4,1,1
A001922,P0102,E044,2026-02-09,Project Administration,5.8,348.8,7,2,3
A001923,P0083,E036,2025-04-21,Quality Review,3.9,369.49,7,2,2
A001924,P0040,E037,2026-05-02,Client Review,5.8,359.4,6,1,2
A001925,P0115,E004,2025-07-09,Project Administration,3.8,159.51,2,0,1
A001926,P0083,E007,2025-05-09,Issue Resolution,5.3,243.56,4,0,0
A001927,P0078,E004,2025-11-11,Client Review,10.0,558.77,0,2,3
A001928,P0103,E002,2025-12-16,Quality Review,5.3,239.92,3,0,0
A001929,P0106,E042,2026-01-23,Project Administration,2.9,236.92,0,0,1
A001930,P0010,E009,2025-03-24,Analysis,2.1,75.28,7,0,0
A001931,P0106,E001,2026-02-16,Stakeholder Meeting,5.8,344.25,3,0,1
A001932,P0092,E047,2026-03-21,Client Review,3.6,315.69,5,0,1
A001933,P0025,E014,2025-10-31,Kickoff,6.1,256.59,0,1,1
A001934,P0037,E041,2025-06-20,Quality Review,1.5,104.35,7,0,0
A001935,P0091,E049,2025-08-02,Issue Resolution,7.2,655.42,4,0,0
A001936,P0026,E027,2026-04-04,Data Collection,2.8,110.03,0,0,0
A001937,P0055,E047,2026-03-31,Issue Resolution,5.6,313.51,2,0,0
A001938,P0083,E049,2025-05-15,Stakeholder Meeting,4.7,175.12,1,1,2
A001939,P0079,E008,2026-06-10,Issue Resolution,9.8,744.13,0,1,1
A001940,P0110,E008,2026-06-01,Reporting,5.9,354.29,0,1,2
A001941,P0014,E019,2025-02-10,Data Collection,10.4,955.13,5,0,0
A001942,P0036,E028,2025-10-14,Client Review,6.9,527.69,6,1,1
A001943,P0119,E040,2025-11-17,Kickoff,9.1,647.16,5,0,1
A001944,P0069,E010,2026-02-26,Analysis,5.0,448.1,5,0,0
A001945,P0030,E010,2026-01-24,Issue Resolution,6.4,273.79,0,1,1
A001946,P0035,E016,2026-05-16,Issue Resolution,8.5,697.06,1,0,1
A001947,P0041,E014,2026-06-13,Kickoff,7.8,614.55,0,0,0
A001948,P0067,E048,2025-08-30,Stakeholder Meeting,6.8,512.69,7,1,2
A001949,P0035,E020,2026-05-28,Kickoff,4.7,344.44,5,0,0
A001950,P0075,E044,2026-04-10,Analysis,5.1,216.56,7,1,1
A001951,P0054,E003,2025-09-14,Project Administration,8.3,695.89,7,0,1
A001952,P0074,E006,2025-11-22,Data Collection,8.9,650.67,1,0,1
A001953,P0019,E041,2026-03-28,Reporting,4.0,325.15,4,1,2
A001954,P0075,E013,2026-02-22,Issue Resolution,3.6,315.24,5,0,0
A001955,P0111,E005,2026-01-25,Issue Resolution,3.2,216.15,5,0,1
A001956,P0017,E030,2025-12-26,Stakeholder Meeting,7.6,702.34,5,0,0
A001957,P0040,E008,2026-05-02,Client Review,3.2,132.97,3,0,0
A001958,P0084,E004,2026-04-28,Quality Review,7.5,264.32,0,0,0
A001959,P0075,E021,2026-03-17,Kickoff,6.9,378.1,7,1,2
A001960,P0081,E028,2025-12-26,Analysis,4.1,196.77,5,0,1
A001961,P0068,E027,2025-08-28,Client Review,9.4,641.24,6,0,0
A001962,P0082,E030,2026-04-15,Client Review,1.8,93.27,1,0,1
A001963,P0074,E002,2025-09-21,Quality Review,9.6,732.37,0,0,1
A001964,P0009,E015,2026-04-25,Issue Resolution,6.3,577.83,7,0,1
A001965,P0091,E018,2025-07-29,Client Review,0.5,40.58,6,1,1
A001966,P0054,E015,2025-09-16,Stakeholder Meeting,9.5,572.04,6,0,0
A001967,P0007,E028,2026-06-30,Analysis,7.9,743.63,3,0,1
A001968,P0050,E012,2025-05-25,Project Administration,4.4,357.59,7,0,1
A001969,P0053,E032,2025-05-17,Project Administration,3.1,259.32,1,0,0
A001970,P0011,E047,2025-04-22,Kickoff,1.6,75.66,6,0,1
A001971,P0120,E034,2026-03-15,Issue Resolution,11.5,876.46,3,0,0
A001972,P0027,E020,2025-12-24,Data Collection,3.2,125.56,1,0,1
A001973,P0040,E022,2026-04-17,Issue Resolution,2.3,112.97,5,0,1
A001974,P0053,E030,2025-06-20,Reporting,6.2,223.11,2,0,1
A001975,P0100,E037,2025-04-06,Client Review,1.4,108.24,1,1,2
A001976,P0090,E016,2025-08-18,Client Review,3.0,108.77,5,0,1
A001977,P0093,E002,2025-02-06,Reporting,8.0,495.6,6,1,1
A001978,P0029,E036,2026-01-24,Analysis,6.7,495.34,2,0,1
A001979,P0102,E034,2026-01-20,Issue Resolution,4.5,239.85,7,0,0
A001980,P0100,E006,2025-03-23,Quality Review,5.5,313.7,5,0,1
A001981,P0056,E032,2025-05-03,Quality Review,4.4,383.19,0,0,1
A001982,P0066,E004,2025-12-24,Analysis,5.3,472.15,2,1,2
A001983,P0005,E033,2025-01-13,Kickoff,3.6,311.48,7,0,0
A001984,P0092,E038,2026-02-17,Quality Review,4.0,319.98,1,0,1
A001985,P0116,E001,2026-06-07,Stakeholder Meeting,4.0,206.61,7,0,0
A001986,P0057,E037,2025-08-19,Reporting,3.7,146.08,4,1,2
A001987,P0065,E007,2025-07-28,Stakeholder Meeting,8.1,521.01,5,0,1
A001988,P0060,E014,2025-08-08,Project Administration,7.4,669.43,5,1,2
A001989,P0010,E036,2025-04-03,Client Review,3.2,154.89,4,0,0
A001990,P0075,E018,2026-03-23,Quality Review,2.5,118.93,4,0,1
A001991,P0087,E049,2026-03-08,Client Review,5.1,417.07,4,1,2
A001992,P0112,E048,2025-05-06,Reporting,10.9,768.66,5,0,1
A001993,P0112,E050,2025-04-16,Reporting,2.9,171.85,5,0,1
A001994,P0060,E006,2025-07-24,Reporting,5.1,442.48,3,0,1
A001995,P0116,E009,2026-05-02,Project Administration,5.7,398.72,3,1,1
A001996,P0064,E010,2025-11-08,Analysis,5.2,469.12,6,1,1
A001997,P0078,E030,2025-11-13,Stakeholder Meeting,4.4,251.19,6,0,1
A001998,P0073,E022,2026-07-21,Analysis,8.4,517.81,5,1,2
A001999,P0120,E038,2026-08-07,Reporting,6.6,260.42,3,0,1
A002000,P0089,E015,2025-03-08,Project Administration,7.6,433.67,4,0,0
A002001,P0015,E010,2025-08-13,Reporting,7.0,320.48,4,1,1
A002002,P0009,E033,2026-04-25,Data Collection,7.7,284.67,3,1,2
A002003,P0050,E031,2025-07-31,Project Administration,9.5,478.28,1,0,0
A002004,P0062,E035,2025-06-29,Issue Resolution,8.8,567.05,4,1,2
A002005,P0081,E016,2026-01-15,Stakeholder Meeting,11.3,563.21,3,0,1
A002006,P0058,E027,2025-08-12,Data Collection,8.5,353.14,0,1,1
A002007,P0062,E047,2025-08-03,Stakeholder Meeting,3.8,235.95,7,0,0
A002008,P0111,E031,2026-02-06,Issue Resolution,7.6,333.42,5,0,1
A002009,P0041,E047,2026-06-28,Reporting,7.3,293.17,0,1,1
A002010,P0060,E022,2025-08-28,Data Collection,10.3,953.89,1,0,0
A002011,P0067,E003,2025-05-29,Data Collection,3.1,197.03,4,0,1
A002012,P0057,E039,2025-08-29,Project Administration,6.9,573.66,6,1,2
A002013,P0117,E024,2025-08-11,Quality Review,3.8,171.94,3,0,1
A002014,P0116,E003,2026-04-06,Client Review,6.8,426.31,6,0,0
A002015,P0062,E007,2025-06-22,Stakeholder Meeting,5.0,201.98,1,0,1
A002016,P0055,E016,2026-02-22,Kickoff,6.7,400.04,4,0,1
A002017,P0071,E010,2026-01-18,Stakeholder Meeting,2.0,169.17,6,0,1
A002018,P0022,E035,2026-07-04,Client Review,7.5,664.24,6,0,1
A002019,P0052,E031,2025-10-01,Stakeholder Meeting,6.0,396.84,1,1,1
A002020,P0027,E017,2025-12-04,Reporting,5.9,307.89,5,0,1
A002021,P0018,E005,2025-05-11,Stakeholder Meeting,10.4,821.68,0,1,1
A002022,P0012,E004,2026-06-20,Stakeholder Meeting,4.5,330.01,1,2,2
A002023,P0071,E048,2026-02-03,Analysis,6.4,404.66,7,0,1
A002024,P0001,E018,2026-05-22,Analysis,5.8,368.43,5,2,2
A002025,P0078,E006,2025-11-16,Analysis,6.0,387.56,1,0,1
A002026,P0052,E036,2025-09-07,Client Review,11.1,614.44,7,0,0
A002027,P0044,E044,2025-11-17,Stakeholder Meeting,5.7,376.99,7,2,2
A002028,P0093,E007,2025-01-25,Client Review,4.1,157.61,0,1,2
A002029,P0065,E048,2025-07-08,Analysis,10.2,705.95,0,0,1
A002030,P0089,E037,2025-02-18,Analysis,4.7,304.43,1,0,1
A002031,P0086,E013,2025-10-07,Project Administration,1.5,90.35,6,0,1
A002032,P0004,E039,2025-06-27,Issue Resolution,3.6,195.98,4,1,1
A002033,P0026,E021,2026-04-29,Stakeholder Meeting,2.4,173.54,4,0,1
A002034,P0069,E032,2026-03-10,Analysis,1.0,64.1,3,0,1
A002035,P0118,E007,2025-12-05,Client Review,4.6,188.83,3,0,0
A002036,P0019,E013,2026-04-09,Kickoff,5.3,304.58,5,0,1
A002037,P0013,E039,2025-04-04,Quality Review,8.5,336.52,0,0,0
A002038,P0113,E041,2026-06-30,Reporting,7.1,410.03,4,0,0
A002039,P0117,E001,2025-08-30,Client Review,7.0,468.79,1,0,0
A002040,P0021,E011,2026-04-14,Kickoff,3.3,192.92,6,0,1
A002041,P0049,E031,2025-02-01,Kickoff,7.7,427.33,1,0,0
A002042,P0076,E046,2025-08-03,Analysis,9.0,466.82,0,0,0
A002043,P0024,E034,2026-08-19,Data Collection,6.5,376.39,3,0,0
A002044,P0040,E036,2026-04-08,Quality Review,6.6,258.45,3,1,1
A002045,P0048,E020,2025-05-28,Project Administration,2.3,217.66,4,0,1
A002046,P0077,E003,2025-11-16,Analysis,8.1,553.39,6,0,1
A002047,P0037,E039,2025-08-16,Quality Review,10.0,731.71,5,0,0
A002048,P0050,E040,2025-04-05,Data Collection,6.3,289.73,2,0,1
A002049,P0035,E023,2026-06-25,Kickoff,4.0,361.62,5,1,2
A002050,P0092,E026,2026-04-26,Client Review,5.1,353.28,4,1,2
A002051,P0019,E012,2026-03-15,Analysis,4.4,263.39,1,0,0
A002052,P0028,E023,2026-03-03,Quality Review,4.6,357.85,0,0,0
A002053,P0030,E013,2026-01-14,Client Review,7.1,378.15,0,0,0
A002054,P0109,E022,2025-11-26,Issue Resolution,6.2,564.69,1,1,2
A002055,P0114,E007,2026-05-26,Data Collection,8.0,361.27,6,0,1
A002056,P0061,E031,2026-06-09,Reporting,6.4,543.91,3,2,3
A002057,P0019,E013,2026-04-13,Project Administration,3.3,306.89,3,0,0
A002058,P0091,E037,2025-04-22,Quality Review,4.2,270.92,3,2,3
A002059,P0060,E026,2025-08-25,Kickoff,4.1,359.16,2,0,0
A002060,P0102,E045,2025-11-24,Analysis,5.0,196.47,5,0,1
A002061,P0044,E012,2025-08-08,Issue Resolution,10.0,722.35,0,0,0
A002062,P0120,E014,2026-08-01,Issue Resolution,10.4,586.29,4,0,0
A002063,P0097,E013,2025-10-07,Analysis,7.6,432.13,7,2,2
A002064,P0027,E032,2025-12-18,Data Collection,5.8,359.73,7,0,0
A002065,P0088,E006,2025-12-28,Analysis,2.1,148.69,2,0,0
A002066,P0035,E035,2026-06-07,Analysis,6.1,438.96,6,2,2
A002067,P0042,E041,2025-10-25,Client Review,3.5,180.94,1,0,1
A002068,P0031,E034,2025-11-18,Issue Resolution,9.6,557.15,1,0,0
A002069,P0082,E007,2026-03-14,Kickoff,1.5,74.96,2,0,0
A002070,P0032,E025,2026-03-29,Client Review,6.5,474.19,0,0,1
A002071,P0077,E027,2025-12-05,Client Review,3.3,135.7,2,1,2
A002072,P0070,E020,2026-07-19,Reporting,5.5,332.28,6,0,1
A002073,P0091,E024,2025-04-22,Issue Resolution,7.2,674.71,6,1,1
A002074,P0120,E039,2026-07-21,Kickoff,8.1,764.05,2,0,0
A002075,P0002,E042,2025-09-16,Client Review,5.3,350.21,2,0,1
A002076,P0119,E016,2025-09-13,Data Collection,7.4,368.87,2,1,1
A002077,P0014,E017,2025-03-21,Project Administration,3.8,266.04,0,1,2
A002078,P0064,E011,2025-11-27,Quality Review,6.1,392.28,1,0,1
A002079,P0041,E021,2026-07-09,Kickoff,8.0,300.39,7,0,0
A002080,P0077,E028,2025-11-17,Client Review,6.3,594.38,5,0,1
A002081,P0087,E036,2026-04-29,Client Review,4.2,229.45,5,1,2
A002082,P0104,E014,2025-03-08,Quality Review,4.8,282.99,2,0,1
A002083,P0049,E011,2025-04-27,Analysis,8.0,526.51,6,0,1
A002084,P0112,E002,2025-04-04,Kickoff,2.8,245.9,1,0,1
A002085,P0039,E005,2026-06-28,Project Administration,3.1,257.14,7,1,2
A002086,P0025,E003,2025-07-26,Data Collection,7.0,331.33,4,0,1
A002087,P0046,E011,2025-12-26,Issue Resolution,4.4,343.14,2,0,0
A002088,P0064,E035,2025-10-01,Reporting,1.9,166.2,6,1,2
A002089,P0081,E039,2026-01-08,Client Review,8.9,692.92,3,0,0
A002090,P0100,E049,2025-03-30,Client Review,2.8,121.38,2,0,0
A002091,P0027,E028,2025-12-06,Issue Resolution,5.0,336.67,5,0,1
A002092,P0037,E023,2025-08-17,Kickoff,4.0,341.25,5,0,1
A002093,P0113,E045,2026-07-11,Project Administration,4.8,224.34,4,1,2
A002094,P0053,E008,2025-04-26,Kickoff,3.3,222.13,3,0,0
A002095,P0029,E032,2025-12-27,Project Administration,7.3,548.76,2,0,0
A002096,P0119,E041,2025-10-21,Analysis,5.8,424.11,3,0,1
A002097,P0054,E026,2025-08-22,Issue Resolution,8.0,331.17,6,0,1
A002098,P0119,E014,2025-10-11,Kickoff,4.0,206.59,2,0,1
A002099,P0111,E032,2026-02-03,Quality Review,10.8,735.78,7,1,1
A002100,P0109,E050,2025-11-09,Quality Review,0.7,33.27,1,0,1
A002101,P0070,E012,2026-06-19,Project Administration,1.5,82.53,1,0,1
A002102,P0096,E029,2026-03-03,Data Collection,9.9,593.06,2,0,0
A002103,P0116,E003,2026-06-18,Kickoff,6.7,239.98,0,1,1
A002104,P0033,E012,2026-02-24,Reporting,6.4,420.0,7,1,2
A002105,P0005,E039,2025-01-29,Kickoff,6.6,624.92,2,0,1
A002106,P0039,E025,2026-07-27,Client Review,6.9,410.52,0,0,1
A002107,P0077,E010,2025-10-06,Kickoff,6.2,319.04,4,1,1
A002108,P0066,E017,2026-01-29,Project Administration,3.1,155.56,7,1,2
A002109,P0010,E007,2025-04-02,Quality Review,7.5,494.33,7,0,1
A002110,P0068,E039,2025-07-05,Project Administration,7.2,449.0,0,1,2
A002111,P0021,E048,2026-05-11,Data Collection,9.1,789.14,6,1,1
A002112,P0061,E006,2026-02-14,Analysis,9.9,726.21,2,0,0
